Satisfaction,Age,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Arrival Delay in Minutes,Female,Male,Disloyal Customer,Loyal Customer,Business Travel,Personal Travel,Business,Eco,Eco Plus
0,37,3785,4,4,4,4,4,5,4,4,4,4,4,5,4,4,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,60,1784,3,4,3,1,5,3,2,5,3,2,4,4,4,5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,27,1825,2,3,4,3,2,1,2,2,1,3,3,1,2,2,57.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,50,2024,4,4,2,2,4,4,4,4,2,5,4,2,4,4,129.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,70,1435,4,4,4,5,5,4,5,5,5,4,5,4,4,5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,61,2000,3,4,3,2,3,3,3,3,4,3,4,5,4,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,27,2178,5,5,1,5,4,5,5,5,5,5,5,5,5,5,37.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,20,2327,2,2,2,3,3,2,5,3,1,2,4,4,3,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,23,4556,3,3,3,3,4,4,4,4,4,5,5,4,5,4,137.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,29,4251,5,5,5,5,3,4,3,3,2,2,1,1,5,3,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,34,1956,1,5,5,5,1,1,1,1,3,2,3,2,4,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,29,2263,3,3,3,2,4,3,4,4,5,5,5,4,5,4,12.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,60,576,3,3,2,3,3,5,4,5,5,5,5,5,5,4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,18,1781,4,1,1,1,4,4,1,4,4,1,4,3,3,4,36.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1,38,700,1,1,5,1,1,3,3,1,1,1,1,4,1,3,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,23,2336,5,5,5,5,2,4,2,5,5,5,5,1,5,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,24,1424,2,0,1,1,1,1,1,1,3,4,1,1,2,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,50,1733,2,2,2,2,3,2,5,3,4,3,4,4,4,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,37,2327,2,5,1,5,2,2,2,2,2,1,1,1,2,2,43.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,21,1881,3,0,3,3,1,3,5,1,1,5,1,5,1,1,80.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,47,2334,2,2,2,3,4,2,4,4,5,3,4,1,5,4,16.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,48,1951,4,4,4,4,4,4,1,5,5,5,5,2,5,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,52,644,1,1,1,1,3,4,4,4,4,4,4,5,4,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,29,2068,3,3,3,3,5,5,5,5,4,3,5,5,5,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,9,3941,2,5,2,3,2,3,3,3,4,4,4,3,5,3,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,22,2358,5,1,1,1,5,4,5,3,3,5,3,1,3,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1,29,2193,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,42,2027,3,3,3,2,2,3,4,2,3,5,4,4,5,2,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,68,4288,2,4,2,2,2,3,3,4,3,5,5,3,4,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,49,2196,5,5,5,3,2,5,2,2,3,4,4,3,5,2,20.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,25,3347,1,3,1,4,1,1,1,3,1,3,4,1,2,1,277.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,42,2384,0,0,0,2,4,4,4,2,2,2,2,3,2,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,22,2184,0,0,0,5,3,0,3,3,5,5,2,2,2,3,63.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,8,1491,1,3,0,4,4,0,4,4,2,1,3,1,3,4,64.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,26,1774,5,4,4,4,5,5,5,5,1,5,5,3,3,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,38,2733,5,5,5,5,4,4,5,4,4,4,4,5,4,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,46,591,5,4,4,4,5,3,5,5,5,5,5,4,5,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,16,1878,3,5,3,4,4,3,4,4,3,3,4,5,5,4,44.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,23,2330,2,4,2,4,2,4,4,2,4,4,4,4,4,4,273.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,47,2841,0,1,1,2,5,5,4,5,5,5,5,5,5,4,14.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,30,2737,5,5,5,5,4,4,4,4,3,2,4,3,5,4,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,23,4066,2,0,2,2,2,1,1,2,5,5,2,1,5,1,11.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,29,1111,0,1,1,3,1,1,1,1,3,5,3,1,5,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,48,957,5,5,5,5,1,5,5,5,5,5,5,2,5,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,57,2173,2,5,2,4,2,4,4,4,3,4,5,4,5,4,142.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,41,1637,5,5,5,5,3,4,5,5,5,5,5,5,5,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,64,3798,4,3,5,4,5,5,5,5,1,3,1,5,4,5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,24,2127,2,2,2,2,2,2,2,3,3,4,4,2,5,2,156.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,37,590,2,2,2,2,5,4,1,4,4,4,4,1,4,3,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,49,451,5,5,5,5,4,3,2,5,5,5,5,5,5,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,45,4952,1,1,3,1,5,5,5,5,4,4,4,5,5,5,151.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,24,2797,5,5,5,4,5,5,3,5,3,3,3,5,5,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,32,1515,3,5,3,1,1,3,1,1,2,2,1,3,5,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,18,1832,1,1,2,1,4,4,4,4,1,1,4,5,2,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,54,1492,5,5,5,5,4,4,5,5,5,5,5,5,5,5,8.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,20,983,3,3,2,3,2,5,4,4,4,4,4,3,4,4,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,54,1274,2,4,2,4,2,4,4,3,3,2,3,5,3,3,16.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,28,2640,3,3,3,3,4,4,4,4,5,5,5,4,4,4,133.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,65,1551,2,3,2,3,4,2,4,4,1,3,3,2,4,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,38,2542,1,1,1,1,4,4,4,4,4,4,4,5,4,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,31,1614,3,3,3,3,3,3,3,3,3,4,3,3,4,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,68,1097,1,1,1,1,4,4,4,4,4,4,4,3,4,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,17,1983,3,1,1,1,3,4,4,3,2,5,5,1,3,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,51,676,4,4,4,4,4,4,4,4,5,3,4,3,4,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,37,340,4,1,1,1,3,3,3,4,4,4,4,2,4,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,50,2548,1,4,1,4,1,1,1,1,4,2,5,5,5,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,35,2160,2,4,2,3,3,2,3,3,5,5,5,3,4,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0,23,1459,4,4,4,4,4,4,4,4,1,2,2,5,3,4,12.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,54,2033,1,1,1,3,1,1,1,1,5,2,5,3,5,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,61,2067,4,4,4,4,3,4,3,3,3,1,5,5,2,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0,48,3661,2,2,2,2,3,4,4,5,5,5,5,5,5,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,63,360,4,4,4,2,3,5,5,2,2,4,2,4,2,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
